product/productId: B007M832YY
review/userId: AG956QOSJ4QU8
review/profileName: Shoppaholic
review/helpfulness: 0/0
review/score: 4.0
review/time: 1281312000
review/summary: Warning: will cause bad breathe (but oh, so delicious)
review/text: These chips are very very good. The flavoring on them is the perfect bbq flavor. Unfortunately they leave you with terrible breath (maybe don't eat them before going in for a kiss or talking in someone's face!).<br /><br />They have an odd crisp that's unsettling at first, but if you give it a try, you get used to it, and will most likely enjoy it. You eat them expecting that crunch of a potato chip, but are greeted by something more airy. It's a pretty unique texture that's not much like what I've eaten before.<br /><br />They are not baked or fried, but popped. Which means less calories and fat. They also seem to have the ability to fill me up even though the bag is small (smaller than most I think). So that is a double win.<br /><br />I'd highly recommend trying these in store before investing in a big box of these unless you are adventurous (or generous enough to give away if they displease you)...but DO try them!

product/productId: B007M832YY
review/userId: A14OUJJJQZ3BG2
review/profileName: YzGals
review/helpfulness: 0/0
review/score: 5.0
review/time: 1280880000
review/summary: Sour Cream & Onion are the best!
review/text: I just went to order a box from here and they say 3-6 weeks???????  Ok, now everyone knows how good they are.  We need faster production please :)  These are the best flavor by far.  Can't wait for the Jalapeno to come out.  YUM!!!

product/productId: B007M832YY
review/userId: A2QB72NT6HE6WA
review/profileName: Sarah
review/helpfulness: 0/0
review/score: 5.0
review/time: 1278806400
review/summary: LOVE these chips!
review/text: I was lucky to have ordered chips on a Virgin America flight and was so excited to see them on Amazon!  They are light and crispy and they do not have MSG or anything bad in them.  They only have about 100 calories per bag and around 3 grams of fat.  I love them!  If you are a chip lover, try them!

product/productId: B007M832YY
review/userId: A2VSDBNRYGVWK
review/profileName: Happy Clicker
review/helpfulness: 0/0
review/score: 5.0
review/time: 1277078400
review/summary: Best Chips ever
review/text: I love these chips.  They are crunchy and they don't crumble in to little pieces in the bag. I truely believe that Barbeque Popchips taste better than any other Barbeque chips on the market.

product/productId: B007M832YY
review/userId: A1I4DHEVGUDWH1
review/profileName: M. A. Wind "Old Edge"
review/helpfulness: 0/0
review/score: 5.0
review/time: 1269561600
review/summary: Fabulous Pop Chips
review/text: This manufacturer is wonderful and follows up with their clients.  It is really appreciated.  They have a great variety to choose from.  I would recommend this company to everyone.

product/productId: B007M832YY
review/userId: ADUBPCAHDRCAR
review/profileName: K. Byrnes
review/helpfulness: 0/0
review/score: 5.0
review/time: 1269216000
review/summary: Pop Chips are the BEST
review/text: Great Price, Fast Shipping and these are the best chips with better ingredients and less calories than most snack foods-- plus they taste like real chips!

product/productId: B007M832YY
review/userId: A2HKGQ3OBD6Q23
review/profileName: D. Yang
review/helpfulness: 0/0
review/score: 5.0
review/time: 1268006400
review/summary: Much better than I thought
review/text: I only had the BBQ flavor since the variety pack was OOS at the time I ordered. This was the first time I ate these and they are much better than I expected. I read the reviews and saw that it got a lot of praises, but still skeptical since people's taste buds aren't the same. Once I received it, tried a bag and these are great. They aren't greasy at all and pack a lot of flavor. I rather eat these whenever I feel like I need a snack than original potatoes chips or something that's a bit greasy.<br /><br />Either way, these are great. Go to their website and see if you can find a vendor near you. Buy a bag to try out and if you love it, just keep getting more from your retail store or buy 'em cheaper here on Amazon!

product/productId: B007M832YY
review/userId: A2YD0LGCAG5CVC
review/profileName: CrocLover
review/helpfulness: 0/0
review/score: 5.0
review/time: 1267660800
review/summary: Great Snack
review/text: I love Pop Chips!  They are similar to a regular potatoe chip, but lighter though just as crunchy!!  I say give them a try -- they are definitely worth it!

product/productId: B007M832YY
review/userId: A1FKWEOT07D3CD
review/profileName: M. Hurne
review/helpfulness: 0/0
review/score: 4.0
review/time: 1266969600
review/summary: My wife and I love these!
review/text: My wife loves these, and we can't wait for them to go on sale again.  Recommended!

product/productId: B007M832YY
review/userId: AEU9NQ5EDBW91
review/profileName: solbnblwka
review/helpfulness: 0/0
review/score: 4.0
review/time: 1266451200
review/summary: Great introduction to these chips
review/text: Okay, I personally loved how these chips taste. They are super crunchy and flavorful. I chose to take away one star because the Sea Salt & Vinegar flavor was way too salty. BBQ was my favorite. Next time I order, I am getting just the BBQ. They taste just like the greasy unhealthier versions made by other brands. The Cheddar was good but you can tell it was a healthy version of this flavor chips. The rest of the flavors I would say taste as they normally do, nothing special or out of the typical range of those flavors.

product/productId: B007M832YY
review/userId: A668DPP6GDYX5
review/profileName: ladybug56124 "Carol"
review/helpfulness: 0/0
review/score: 5.0
review/time: 1266364800
review/summary: The best of the best
review/text: I don't feel guilty about eating these chips.  They are the best of the best and I have ordered more.  There is a great variety to choose from and enjoy.

product/productId: B007M832YY
review/userId: A2GSNLOLNOZWMM
review/profileName: Bud
review/helpfulness: 0/0
review/score: 4.0
review/time: 1265760000
review/summary: Excellent Snack
review/text: If you are looking for a really good snack with relatively few calories, this is the one for you.  Tastes good, is relatively good for you when compared with other potato chip snacks and ordering them from Amazon makes them easy to keep on hand.

product/productId: B007M832YY
review/userId: A22JHOEDZED75E
review/profileName: A Greyhound on the Go
review/helpfulness: 0/0
review/score: 5.0
review/time: 1265587200
review/summary: Popchips are healthy and yummy
review/text: Popchips are quite yummy and 5-star product! They have the baked potatoe crisps' texture, but the mini rice cakes' thickness and size. The are healthier than most snack foods, especially in the single serving packs.  My favorite flavors are the BBQ, Cheddar, and Orginal. However, all the varieties are worth a tasty and worth a try.<br /><br />Enjoy!

product/productId: B007M832YY
review/userId: ACM6X1Q9R2K81
review/profileName: MedTech2009
review/helpfulness: 0/0
review/score: 5.0
review/time: 1265414400
review/summary: Amazing snack
review/text: Can't say enough about these chips.  They are only 3 Weight watchers points and are very satisfying.  Hard to believe they are healthy.  I like the portion control of single serve bags for myself and they are quick to pack in a lunch.  One of these bags is a lot more filling than a small bag of chips and taste even better.  I also bought the 3 ounce bags since my entire family loves these. Try these once and you will be hooked.

product/productId: B007M832YY
review/userId: A1NT3FKIAYQEX1
review/profileName: J. Talbert
review/helpfulness: 0/0
review/score: 5.0
review/time: 1265241600
review/summary: These things are sooooo addictive
review/text: These things are great. I have tried most of the flavors and each one is great. When you open your first bag and put a popchip in your mouth and start eating it, it has a very different texture than you would expect, At-least for me, I did not know what to expect for the texture, and the first few I ate I was I was not sure if I would like it, but then the flavors started to do a happy dance in my mouth, and I got use to the texture and now I cannot get enough of these. They are very addictive, like a legal drug.. They are filling, low in calories and fat. They are my new favorite chips.<br /><br />I recommend going to the website and sending the company an email to let them know what you think of the chips. They are excited to hear what you think and may send you some coupons just for emailing them.<br /><br />If you have never tried these, do it, they are worth it. This variety pack is worth it, good price, great chips. I am eating a bag of bbq while I write this and have a bag of plain popchips waiting for me later. For a chip like this, I didn't have high expectations for the plain chips. Some low fat chips and foods that don't have seasoning taste bland and not work it, not these, even the plain chips have great flavor.

product/productId: B007M832YY
review/userId: A1EW5PGSWL1F5C
review/profileName: M. Gerard
review/helpfulness: 0/0
review/score: 5.0
review/time: 1265068800
review/summary: Love the BBQ flavor
review/text: I dislike most "diet" snacks -- like baked  potato chips. But the barbecue pop chips taste as good or better than most non-diet snacks. I did not care for the vinegar and salt & pepper varieties -- and haven't tried the others yet -- but the BBQ chips are great. I make sure I always have these in the house.

product/productId: B007M832YY
review/userId: A19GPSMV31Q33C
review/profileName: SweetGirly "Gymnut"
review/helpfulness: 0/0
review/score: 5.0
review/time: 1264982400
review/summary: Surprisingly Good with so little fat!
review/text: These are Phenomenal!  They taste as close to a full fat chip as possible, I was so surprised. Thank you so much pop-chips!

product/productId: B007M832YY
review/userId: A1FOUC0WQXV2UG
review/profileName: Jeff "Jeff"
review/helpfulness: 0/0
review/score: 4.0
review/time: 1264636800
review/summary: my son has to have them
review/text: Pop Chips are hard to find in the original flavor. So I ordered a whole case. Too bad that they are gone already! My son loves them.

product/productId: B007M832YY
review/userId: A2HWZ7WHTE0U2D
review/profileName: Dr.C
review/helpfulness: 0/0
review/score: 5.0
review/time: 1264464000
review/summary: The best!
review/text: These are some of the most delicious snacks that I have tasted!It is amazing that the serving size is comparable to regular chips but only 100 calories.

